Generation,Phenotype,Optimum
954,117.427263,117.237
955,117.393881,117.237
956,117.236451,117.237
957,117.230610,117.237
958,117.301608,117.237
959,117.266387,117.237
960,117.268415,117.237
961,117.295257,117.237
962,117.154271,117.237
963,117.229087,117.237
964,117.300260,117.237
965,117.352943,117.237
966,117.299684,117.237
967,117.286043,117.237
968,117.193796,117.237
969,117.209141,117.237
970,117.190338,117.237
971,117.033318,117.237
972,117.034245,117.237
973,117.179127,117.237
974,117.120595,117.237
975,117.216157,117.237
976,117.175135,117.237
977,117.308747,117.237
978,117.300611,117.237
979,117.265886,117.237
980,117.214012,117.237
981,117.328650,117.237
982,117.290131,117.237
983,117.336720,117.237
984,117.262341,117.237
985,117.401179,117.237
986,117.206476,117.237
987,117.188290,117.237
988,117.205618,117.237
989,117.368914,117.237
990,117.210578,117.237
991,117.180532,117.237
992,117.190898,117.237
993,117.439508,117.237
994,117.380415,117.237
995,117.479925,117.237
996,117.464427,117.237
997,117.359198,117.237
998,117.291589,117.237
999,117.348010,117.237
1000,117.250852,117.237
