Generation,Position,Frequency,Effect,Heterozygosity,origin
360,500000,0.977550,3.048570,4.3892e-08,1
361,500000,0.975600,3.048570,4.76092e-08,1
362,500000,0.975650,3.048570,4.75141e-08,1
363,500000,0.977300,3.048570,4.43694e-08,1
364,500000,0.977350,3.048570,4.42739e-08,1
365,500000,0.977200,3.048570,4.45603e-08,1
366,500000,0.979600,3.048570,3.99676e-08,1
367,500000,0.978250,3.048570,4.25538e-08,1
368,500000,0.978850,3.048570,4.14053e-08,1
369,500000,0.979300,3.048570,4.0543e-08,1
370,500000,0.979600,3.048570,3.99676e-08,1
371,500000,0.978800,3.048570,4.15011e-08,1
372,500000,0.978650,3.048570,4.17883e-08,1
373,500000,0.978750,3.048570,4.15968e-08,1
374,500000,0.977650,3.048570,4.37009e-08,1
375,500000,0.976600,3.048570,4.57048e-08,1
376,500000,0.976300,3.048570,4.62766e-08,1
377,500000,0.977650,3.048570,4.37009e-08,1
378,500000,0.979350,3.048570,4.04471e-08,1
379,500000,0.980100,3.048570,3.90079e-08,1
380,500000,0.981550,3.048570,3.62192e-08,1
381,500000,0.982750,3.048570,3.39048e-08,1
382,500000,0.982700,3.048570,3.40014e-08,1
383,500000,0.983800,3.048570,3.18751e-08,1
384,500000,0.983600,3.048570,3.2262e-08,1
385,500000,0.984400,3.048570,3.07132e-08,1
386,500000,0.986100,3.048570,2.74136e-08,1
387,500000,0.987100,3.048570,2.54672e-08,1
388,500000,0.986350,3.048570,2.69273e-08,1
389,500000,0.986600,3.048570,2.64409e-08,1
390,500000,0.986300,3.048570,2.70246e-08,1
391,500000,0.986850,3.048570,2.59541e-08,1
392,500000,0.987500,3.048570,2.46875e-08,1
393,500000,0.987850,3.048570,2.40047e-08,1
394,500000,0.988400,3.048570,2.29309e-08,1
395,500000,0.988050,3.048570,2.36144e-08,1
396,500000,0.988150,3.048570,2.34191e-08,1
397,500000,0.989750,3.048570,2.02899e-08,1
398,500000,0.990350,3.048570,1.91137e-08,1
399,500000,0.990250,3.048570,1.93099e-08,1
400,500000,0.991800,3.048570,1.62655e-08,1
401,500000,0.992550,3.048570,1.4789e-08,1
402,500000,0.992800,3.048570,1.42963e-08,1
403,500000,0.993950,3.048570,1.20268e-08,1
404,500000,0.994300,3.048570,1.1335e-08,1
405,500000,0.994750,3.048570,1.04449e-08,1
406,500000,0.995100,3.048570,9.75197e-09,1
407,500000,0.996400,3.048570,7.17407e-09,1
408,500000,0.996850,3.048570,6.28015e-09,1
409,500000,0.997100,3.048570,5.78317e-09,1
410,500000,0.997000,3.048570,5.98199e-09,1
411,500000,0.996850,3.048570,6.28015e-09,1
412,500000,0.997200,3.048570,5.58431e-09,1
413,500000,0.997300,3.048570,5.38541e-09,1
414,500000,0.997150,3.048570,5.68375e-09,1
415,500000,0.997600,3.048570,4.78848e-09,1
416,500000,0.997850,3.048570,4.29075e-09,1
417,500000,0.997450,3.048570,5.08699e-09,1
418,500000,0.997450,3.048570,5.08699e-09,1
419,500000,0.997100,3.048570,5.78317e-09,1
420,500000,0.997450,3.048570,5.08699e-09,1
421,500000,0.997900,3.048570,4.19118e-09,1
422,500000,0.997900,3.048570,4.19118e-09,1
423,500000,0.998300,3.048570,3.39422e-09,1
424,500000,0.998200,3.048570,3.59352e-09,1
425,500000,0.998200,3.048570,3.59352e-09,1
426,500000,0.998550,3.048570,2.89579e-09,1
427,500000,0.998800,3.048570,2.39712e-09,1
428,500000,0.999150,3.048570,1.69855e-09,1
429,500000,0.999350,3.048570,1.29915e-09,1
430,500000,0.999450,3.048570,1.09939e-09,1
431,500000,0.999350,3.048570,1.29915e-09,1
432,500000,0.999250,3.048570,1.49887e-09,1
433,500000,0.999200,3.048570,1.59872e-09,1
434,500000,0.999200,3.048570,1.59872e-09,1
435,500000,0.998700,3.048570,2.59662e-09,1
436,500000,0.998650,3.048570,2.69635e-09,1
437,500000,0.998700,3.048570,2.59662e-09,1
438,500000,0.999050,3.048570,1.89819e-09,1
439,500000,0.998850,3.048570,2.29735e-09,1
440,500000,0.998750,3.048570,2.49687e-09,1
441,500000,0.998700,3.048570,2.59662e-09,1
442,500000,0.999000,3.048570,1.998e-09,1
443,500000,0.998800,3.048570,2.39712e-09,1
444,500000,0.998700,3.048570,2.59662e-09,1
445,500000,0.998400,3.048570,3.19488e-09,1
446,500000,0.998350,3.048570,3.29455e-09,1
447,500000,0.998500,3.048570,2.9955e-09,1
448,500000,0.998250,3.048570,3.49387e-09,1
449,500000,0.998450,3.048570,3.09519e-09,1
450,500000,0.998500,3.048570,2.9955e-09,1
451,500000,0.998800,3.048570,2.39712e-09,1
452,500000,0.999100,3.048570,1.79838e-09,1
453,500000,0.998850,3.048570,2.29735e-09,1
454,500000,0.998900,3.048570,2.19758e-09,1
455,500000,0.999150,3.048570,1.69855e-09,1
456,500000,0.999200,3.048570,1.59872e-09,1
457,500000,0.999350,3.048570,1.29915e-09,1
458,500000,0.999550,3.048570,8.99594e-10,1
459,500000,0.999450,3.048570,1.09939e-09,1
460,500000,0.999650,3.048570,6.99754e-10,1
461,500000,0.999750,3.048570,4.99875e-10,1
462,500000,0.999750,3.048570,4.99875e-10,1
463,500000,0.999600,3.048570,7.99679e-10,1
464,500000,0.999750,3.048570,4.99875e-10,1
465,500000,0.999850,3.048570,2.99955e-10,1
466,500000,0.999800,3.048570,3.9992e-10,1
467,500000,0.999850,3.048570,2.99955e-10,1
468,500000,0.999850,3.048570,2.99955e-10,1
